Comment,Designator,Footprint,LCSC Part #
2.2uH,L1,L3X3,C5363890
4.7k,R12,R0402,
5.1k,R7 R8,R0402,
8.2n,C16,C0603,
10k,R4 R5 R6 R17,R0402,
12k,R27,R0402,
20k,R22,R0402,
22uF,C2,C0603,
22uF/35V,C12 C13 C14 C15,C0805,
68k,R28,R0402,
100n,C9,C0402,
100n,C17,C0603,
100nF,C1 C8,C0402,
100uF,C19 C20,C1206,
330p,C18,C0402,
ESP32-C3-MINI-1-N4,IC2,ESP32C3MINI1N4,
LESD5D5.0CT1G,D1 D2 D4,LESD5D50CT1G,
LMR14050DDAR,IC1,SO08-EPAD,C155484
RB070MM-30TR,D3,SOD123-F,C162059
SK6812-EC20,LED,SK6812EC20,
TS-1086E-AC03526,FLASH RESET,1TS003B16003500A,C720473
USB-C_2-16PIN,J1,USBC_USB-C-16P-5,C2837092
USUP_4P_V,J3,1X04_1MM_RA_VERT,C371588
USUP_SPI_CONNECTOR_VERT,J2,1X06_1MM_RA_VERT,C145963
22uF,C3 C4,C0603,
47k,R1 R18,R0402,
62R,R9 R10,R0402,
100nF,C5,C0402,
DMG2305UX,Q5,MICRO3,C144153
ME6211C33M5G,IC4,SOT23-5,
MMDT5401,Q3,SC70-6,C54540
SN74AHCT125PW,U1,SOP65P640X120-14N,
